GivingCountry,ReceivingCountry,Points
albania,australia,7
albania,spain,24
albania,italy,74
albania,turkey,54
albania,serbia,19
albania,bosnia & herzegovina,21
albania,north macedonia,36
albania,greece,117
albania,cyprus,46
albania,sweden,55
albania,croatia,13
albania,armenia,24
albania,israel,39
albania,san marino,17
albania,belgium,8
albania,france,45
albania,malta,15
albania,norway,29
albania,ukraine,23
albania,portugal,7
albania,luxembourg,12
albania,estonia,26
albania,united kingdom,22
albania,the netherlands,7
albania,finland,11
albania,israel ,3
albania,azerbaijan,21
albania,montenegro,6
albania,germany,27
albania,ukraine ,8
albania,austria,9
albania,czech republic,1
albania,switzerland,49
albania,slovenia,4
albania,netherlands,9
albania,russia,18
albania,serbia & montenegro,13
albania,moldova,10
albania,bulgaria,13
albania,romania,10
albania,denmark,2
albania,iceland,6
albania,poland,1
albania, australia,2
albania,ireland,7
armenia,north macedonia,7
armenia,latvia,3
armenia,moldova,14
armenia,hungary,3
armenia,france,78
armenia,germany,12
armenia,ukraine,70
armenia,georgia,60
armenia,ireland,5
armenia,czech republic,1
armenia,switzerland,21
armenia,bulgaria,18
armenia,austria,15
armenia,israel,19
armenia,netherlands,7
armenia,montenegro,20
armenia,albania,3
armenia,russia,89
armenia,norway,34
armenia,romania,7
armenia,serbia,21
armenia,sweden,42
armenia,greece,81
armenia,spain,31
armenia,bosnia & herzegovina,6
armenia,belgium,13
armenia,italy,30
armenia,united kingdom,12
armenia,australia,6
armenia,iceland,5
armenia,finland,18
armenia,estonia,5
armenia,san marino,3
armenia,malta,19
armenia,croatia,8
armenia,cyprus,20
armenia,azerbaijan,1
armenia,the netherlands,4
armenia,belarus,23
armenia,lithuania,2
armenia,denmark,10
armenia,portugal,34
armenia,poland,2
armenia,turkey,4
australia,france,20
australia,switzerland,18
australia,portugal,15
australia,sweden,70
australia,azerbaijan,4
australia,czech republic,6
australia,denmark,19
australia,united kingdom,33
australia,italy,26
australia,finland,14
australia,moldova,16
australia,israel,47
australia,the netherlands,13
australia,belgium,39
australia,poland,10
australia,estonia,23
australia,bulgaria,16
australia,slovenia,1
australia,armenia,2
australia,lithuania,22
australia,luxembourg,2
australia,spain,28
australia,germany,13
australia,austria,24
australia,cyprus,16
australia,serbia,14
australia,norway,33
australia,latvia,17
australia,ukraine,10
australia,greece,15
australia,russia,19
australia,croatia,14
australia,malta,18
australia,north macedonia,7
australia,romania,10
australia,albania,4
australia,czechia,4
australia,iceland,8
australia,ireland,16
australia,georgia,1
austria,israel,102
austria,italy,124
austria,yugoslavia,37
austria,the netherlands,111
austria,norway,71
austria,france,149
austria,latvia,23
austria,portugal,45
austria,iceland,38
austria,romania,25
austria,sweden,173
austria,turkey,40
austria,belgium,61
austria,ireland,171
austria,denmark,89
austria,germany,145
austria,estonia,33
austria,united kingdom,208
austria,ukraine,38
austria,serbia,37
austria,bulgaria,21
austria,albania,21
austria,czech republic,7
austria,malta,61
austria,switzerland,141
austria,greece,37
austria, france,2
austria,luxembourg,73
austria,bosnia & herzegovina,49
austria,spain,80
austria,monaco,28
austria,belarus,7
austria,croatia,56
austria,russia,37
austria,australia,24
austria,moldova,15
austria,poland,57
austria,hungary,25
austria,cyprus,18
austria,slovenia,19
austria,finland,54
austria,azerbaijan,8
austria,armenia,28
austria,netherlands,10
austria,lithuania,8
austria, ukraine,4
austria,czechia,5
austria,serbia & montenegro,12
azerbaijan,lithuania,13
azerbaijan,greece,52
azerbaijan,belarus,27
azerbaijan,turkey,48
azerbaijan,ukraine,107
azerbaijan,malta,45
azerbaijan,austria,11
azerbaijan,romania,37
azerbaijan,italy,62
azerbaijan,luxembourg,8
azerbaijan,ireland,11
azerbaijan,bulgaria,11
azerbaijan,belgium,7
azerbaijan,croatia,10
azerbaijan,france,18
azerbaijan,hungary,21
azerbaijan,netherlands,7
azerbaijan,israel,69
azerbaijan,australia,16
azerbaijan,cyprus,13
azerbaijan,montenegro,2
azerbaijan,portugal,23
azerbaijan,georgia,50
azerbaijan,czechia,3
azerbaijan,norway,38
azerbaijan,sweden,50
azerbaijan,north macedonia,8
azerbaijan,russia,91
azerbaijan,poland,16
azerbaijan,slovenia,15
azerbaijan,spain,21
azerbaijan,switzerland,29
azerbaijan,estonia,16
azerbaijan,serbia,8
azerbaijan,finland,13
azerbaijan,moldova,39
azerbaijan,albania,23
azerbaijan,denmark,9
azerbaijan,san marino,16
azerbaijan,germany,3
azerbaijan,the netherlands,7
azerbaijan,latvia,5
azerbaijan,united kingdom,19
azerbaijan,bosnia & herzegovina,5
belarus,georgia,13
belarus,norway,21
belarus,malta,19
belarus,ukraine,41
belarus,switzerland,4
belarus,italy,7
belarus,the netherlands,13
belarus,armenia,22
belarus,slovenia,9
belarus,hungary,13
belarus,moldova,26
belarus,russia,45
belarus,australia,9
belarus,denmark,4
belarus,azerbaijan,24
belarus,finland,1
belarus,greece,18
belarus,sweden,10
belarus,lithuania,7
belarus,romania,4
belarus,israel,9
belarus,belgium,6
belarus,turkey,3
belarus,poland,9
belarus,bulgaria,12
belarus,cyprus,8
belarus,portugal,10
belarus,serbia,7
belarus,north macedonia,10
belarus,san marino,1
belarus,austria,4
belarus,iceland,9
belarus,france,4
belgium,bulgaria,22
belgium,switzerland,147
belgium,cyprus,41
belgium,united kingdom,200
belgium,poland,32
belgium,norway,135
belgium,ireland,153
belgium,monaco,40
belgium,netherlands,13
belgium,germany,157
belgium,france,159
belgium,austria,115
belgium,portugal,52
belgium,italy,126
belgium,yugoslavia,62
belgium,bosnia & herzegovina,2
belgium,spain,141
belgium,israel,116
belgium,the netherlands,128
belgium,luxembourg,76
belgium,greece,53
belgium,malta,48
belgium,finland,52
belgium,iceland,40
belgium,latvia,34
belgium,georgia,12
belgium,moldova,18
belgium,turkey,50
belgium,sweden,157
belgium,denmark,74
belgium,czech republic,1
belgium,azerbaijan,17
belgium,russia,41
belgium,albania,20
belgium,lithuania,7
belgium,ukraine,34
belgium,croatia,26
belgium,armenia,28
belgium,estonia,22
belgium,serbia,4
belgium,australia,27
belgium, yugoslavia,1
belgium,czechia,5
belgium,serbia & montenegro,3
belgium,slovenia,2
belgium,luxembourg ,1
belgium,romania,11
belgium,germany ,6
belgium,hungary,1
belgium, france,7
bulgaria,armenia,29
bulgaria,greece,38
bulgaria,serbia,33
bulgaria,belgium,20
bulgaria,israel,17
bulgaria,turkey,7
bulgaria,moldova,41
bulgaria,russia,18
bulgaria,france,24
bulgaria,north macedonia,10
bulgaria,poland,13
bulgaria,austria,28
bulgaria,ukraine,33
bulgaria,italy,17
bulgaria,romania,9
bulgaria,lithuania,11
bulgaria,the netherlands,14
bulgaria,malta,12
bulgaria,portugal,17
bulgaria,belarus,3
bulgaria,azerbaijan,13
bulgaria,cyprus,13
bulgaria,sweden,8
bulgaria,hungary,11
bulgaria,switzerland,10
bulgaria,spain,16
bulgaria,united kingdom,10
bulgaria,estonia,2
bulgaria,albania,7
bulgaria,georgia,3
bulgaria,australia,8
bulgaria,ireland,1
bulgaria,croatia,1
bulgaria,norway,2
bulgaria,czech republic,8
bulgaria,finland,1
bulgaria,germany,6
croatia,bosnia & herzegovina,107
croatia,france,33
croatia,moldova,18
croatia,romania,19
croatia,ukraine,46
croatia,hungary,30
croatia,russia,50
croatia,latvia,20
croatia,italy,54
croatia,united kingdom,64
croatia,ireland,40
croatia,estonia,33
croatia,slovenia,60
croatia,belgium,11
croatia,iceland,14
croatia,greece,51
croatia,malta,82
croatia,norway,49
croatia,czech republic,10
croatia,spain,48
croatia,germany,24
croatia,switzerland,15
croatia,serbia & montenegro,24
croatia,sweden,40
croatia,israel,35
croatia,austria,24
croatia,portugal,43
croatia,serbia,31
croatia,north macedonia,41
croatia,cyprus,36
croatia,albania,37
croatia,slovakia,8
croatia,turkey,36
croatia,finland,24
croatia,poland,12
croatia,lithuania,15
croatia,the netherlands,23
croatia,armenia,7
croatia,bulgaria,11
croatia,czechia,3
croatia,australia,18
croatia,denmark,15
croatia, ireland,5
croatia,netherlands,2
croatia,luxembourg,5
croatia,belarus,5
croatia,azerbaijan,10
cyprus,greece,295
cyprus,ireland,92
cyprus,latvia,9
cyprus,denmark,33
cyprus,the netherlands,32
cyprus,austria,60
cyprus,spain,131
cyprus,ukraine,55
cyprus,israel,94
cyprus,hungary,15
cyprus,france,111
cyprus,north macedonia,5
cyprus,russia,75
cyprus,norway,70
cyprus,serbia & montenegro,20
cyprus,yugoslavia,59
cyprus,czech republic,5
cyprus,croatia,45
cyprus,poland,18
cyprus,malta,66
cyprus,iceland,24
cyprus,sweden,124
cyprus,belgium,54
cyprus,finland,24
cyprus,united kingdom,76
cyprus,italy,109
cyprus,luxembourg,26
cyprus,switzerland,64
cyprus,lithuania,21
cyprus,australia,36
cyprus,azerbaijan,37
cyprus,bulgaria,36
cyprus,albania,16
cyprus,estonia,24
cyprus,armenia,27
cyprus,portugal,30
cyprus,moldova,19
cyprus,san marino,1
cyprus,germany,55
cyprus,serbia,17
cyprus,czechia,1
cyprus,georgia,5
cyprus,luxembourg ,10
cyprus,romania,41
cyprus,slovenia,5
cyprus,netherlands,8
cyprus,turkey,12
czech-republic,ireland,10
czech-republic,russia,22
czech-republic,slovenia,17
czech-republic,croatia,8
czech-republic,the netherlands,13
czech-republic,italy ,2
czech-republic,latvia,1
czech-republic,sweden,32
czech-republic,estonia,6
czech-republic,austria,9
czech-republic,france,7
czech-republic,malta,9
czech-republic,iceland,4
czech-republic,armenia,8
czech-republic,germany,3
czech-republic,lithuania,4
czech-republic,ukraine,24
czech-republic,israel,15
czech-republic,belgium,2
czech-republic,azerbaijan,11
czech-republic,bulgaria,9
czech-republic,united kingdom,4
czech-republic,switzerland,5
czech-republic,norway,10
czech-republic,north macedonia,7
czech-republic,finland,3
czech-republic,moldova,6
czech-republic,denmark,7
czech-republic,cyprus,8
czech-republic,australia,9
czech-republic,italy,8
czech-republic,hungary,12
czech-republic,poland,7
czech-republic,albania,6
czechia,portugal,12
czechia,ukraine,40
czechia,armenia,14
czechia,italy,7
czechia,estonia,16
czechia,israel,28
czechia,united kingdom,22
czechia,serbia,10
czechia,slovenia,6
czechia,poland,15
czechia,australia,8
czechia,germany,18
czechia,croatia,6
czechia,finland,9
czechia,sweden,35
czechia,moldova,13
czechia,greece,5
czechia,norway,16
czechia,switzerland,16
czechia,malta,2
czechia,austria,4
czechia,france,12
czechia,lithuania,6
czechia,albania,5
czechia,denmark,1
czechia,netherlands,7
czechia,spain,10
czechia,ireland,7
denmark,israel,63
denmark,italy,39
denmark,luxembourg,37
denmark,sweden,299
denmark,portugal,32
denmark,united kingdom,161
denmark,germany,177
denmark,cyprus,59
denmark,the netherlands,74
denmark,bosnia & herzegovina,32
denmark,france,102
denmark,switzerland,120
denmark,ukraine,31
denmark,monaco,16
denmark,finland,51
denmark,austria,94
denmark,spain,39
denmark,ireland,143
denmark,belgium,57
denmark,norway,166
denmark,greece,41
denmark,iceland,115
denmark,russia,26
denmark,finland ,2
denmark,armenia,7
denmark,romania,26
denmark,australia,22
denmark,estonia,57
denmark,moldova,16
denmark,turkey,38
denmark,hungary,6
denmark, france,1
denmark,albania,5
denmark,malta,61
denmark,yugoslavia,53
denmark,lithuania,18
denmark,croatia,8
denmark,slovenia,7
denmark,bosnia & herzegovina ,2
denmark,spain ,2
denmark,fi,2
denmark,north macedonia,10
denmark,bulgaria,5
denmark,latvia,43
denmark,poland,22
denmark,azerbaijan,14
denmark,czech republic,6
denmark,netherlands,10
denmark,serbia,2
estonia,france,50
estonia,the netherlands,19
estonia,portugal,13
estonia,australia,23
estonia,switzerland,38
estonia,cyprus,13
estonia,austria,40
estonia,latvia,47
estonia,romania,1
estonia,serbia,4
estonia,slovenia,19
estonia,iceland,57
estonia,ireland,38
estonia,malta,28
estonia,poland,24
estonia,azerbaijan,23
estonia,norway,74
estonia,ukraine,49
estonia,russia,97
estonia,sweden,159
estonia,denmark,56
estonia,italy,45
estonia,armenia,3
estonia,greece,12
estonia,germany,40
estonia,spain,14
estonia,finland,60
estonia,united kingdom,47
estonia,lithuania,27
estonia,belgium,35
estonia,israel,27
estonia,bulgaria,7
estonia,czech republic,13
estonia,moldova,7
estonia,netherlands,2
estonia,georgia,4
estonia,turkey,6
estonia,fi,8
estonia,hungary,24
estonia,croatia,20
estonia,albania,1
estonia,belarus,1
finland,portugal,40
finland,yugoslavia,49
finland,belgium,82
finland,switzerland,145
finland,monaco,41
finland,lithuania,14
finland,israel,136
finland,united kingdom,160
finland,italy,152
finland,luxembourg,87
finland,ukraine,45
finland,sweden,228
finland,turkey,33
finland,hungary,57
finland,azerbaijan,10
finland,norway,131
finland,france,146
finland,cyprus,55
finland,germany,91
finland,iceland,52
finland,the netherlands,82
finland,russia,39
finland,malta,35
finland,romania,6
finland,ireland,122
finland,czech republic,5
finland,spain,96
finland,greece,49
finland,bosnia & herzegovina,25
finland,slovenia,11
finland,denmark,74
finland,estonia,106
finland,austria,70
finland,croatia,23
finland,albania,4
finland,armenia,6
finland,serbia,21
finland,australia,16
finland,latvia,21
finland,poland,11
finland,italy ,4
finland,moldova,12
finland,bulgaria,25
finland, israel,6
finland,czechia,8
finland,netherlands,5
finland,north macedonia,1
finland,georgia,7
france,greece,121
france,israel,217
france,luxembourg,97
france,yugoslavia,43
france,germany,162
france,united kingdom,207
france,albania,14
france,finland,59
france,czech republic,7
france,italy,194
france,bosnia & herzegovina,39
france,malta,49
france,norway,76
france,portugal,207
france,turkey,141
france,austria,97
france,moldova,48
france,slovenia,16
france,the netherlands,153
france,estonia,38
france,cyprus,39
france,lithuania,4
france,sweden,157
france,belgium,149
france,azerbaijan,21
france,spain,185
france,ireland,120
france,north macedonia,7
france,russia,52
france,serbia & montenegro,16
france,iceland,23
france,monaco,42
france,switzerland,115
france,hungary,21
france,denmark,107
france,ukraine,61
france,netherlands,7
france,poland,48
france,armenia,104
france,romania,45
france,serbia,45
france,latvia,18
france,sweden ,1
france,turkey ,10
france,bulgaria,20
france, norway,4
france, iceland,1
france,san marino,4
france,australia,24
france, spain,8
france,czechia,6
france,croatia,25
georgia,norway,21
georgia,ukraine,84
georgia,finland,3
georgia,ireland,4
georgia,italy,54
georgia,moldova,20
georgia,belgium,28
georgia,lithuania,38
georgia,russia,38
georgia,estonia,15
georgia,turkey,13
georgia,spain,7
georgia,azerbaijan,55
georgia,australia,10
georgia,greece,24
georgia,sweden,27
georgia,hungary,7
georgia,germany,5
georgia,israel,22
georgia,poland,6
georgia,north macedonia,1
georgia,latvia,29
georgia,armenia,97
georgia,belarus,25
georgia,france,17
georgia,austria,8
georgia,bulgaria,3
georgia,croatia,5
georgia,serbia,7
georgia, serbia,6
georgia,portugal,11
georgia,malta,3
georgia,denmark,17
georgia,switzerland,16
georgia,netherlands,11
georgia,cyprus,3
georgia,united kingdom,15
georgia,albania,3
germany,israel,142
germany,sweden,223
germany,portugal,66
germany,ukraine,47
germany,norway,144
germany,spain,132
germany,the netherlands,136
germany,united kingdom,199
germany,malta,84
germany,ireland,158
germany,slovenia,13
germany,france,191
germany,luxembourg,83
germany,bosnia & herzegovina,35
germany,turkey,170
germany,greece,115
germany,hungary,30
germany,yugoslavia,33
germany,italy,138
germany,albania,28
germany,iceland,55
germany,croatia,55
germany,belgium,115
germany,monaco,56
germany,estonia,55
germany,switzerland,141
germany,denmark,115
germany,latvia,34
germany,poland,82
germany,cyprus,44
germany,austria,108
germany,finland,88
germany,australia,48
germany,serbia,44
germany,armenia,33
germany,moldova,22
germany,bulgaria,16
germany,russia,90
germany,lithuania,9
germany,romania,17
germany,azerbaijan,11
germany,czech republic,8
germany,yugoslavia ,4
germany,north macedonia,7
germany,netherlands,4
germany,georgia,8
germany,czechia,5
germany, cyprus,3
germany,serbia & montenegro,13
greece,united kingdom,91
greece,belgium,77
greece,estonia,27
greece,cyprus,265
greece,armenia,60
greece,romania,66
greece,croatia,37
greece,italy,108
greece,norway,74
greece,austria,92
greece,turkey,36
greece,yugoslavia,18
greece,russia,81
greece,switzerland,91
greece,iceland,31
greece,sweden,65
greece,the netherlands,66
greece,ireland,101
greece,israel,54
greece,spain,146
greece,albania,78
greece,azerbaijan,63
greece,portugal,68
greece,france,154
greece,slovenia,19
greece,slovakia,7
greece,germany,45
greece,monaco,16
greece, france,5
greece,denmark,39
greece,luxembourg,28
greece,bulgaria,22
greece,ukraine,59
greece,georgia,27
greece,san marino,13
greece,czechia,3
greece,serbia,26
greece,finland,75
greece,serbia & montenegro,14
greece, azerbaijan,3
greece,malta,75
greece,australia,20
greece,lithuania,4
greece,moldova,43
greece,poland,32
greece,belarus,9
greece, sweden,6
greece,hungary,8
greece,north macedonia,1
greece, hungary,2
greece,netherlands,12
greece,bosnia & herzegovina,9
greece,latvia,14
hungary,romania,26
hungary,denmark,36
hungary,austria,35
hungary,greece,32
hungary,estonia,15
hungary,the netherlands,47
hungary,italy,24
hungary,san marino,4
hungary,portugal,19
hungary,ukraine,24
hungary,spain,18
hungary,germany,24
hungary,albania,18
hungary,australia,34
hungary,moldova,23
hungary,cyprus,27
hungary,turkey,10
hungary,armenia,13
hungary,croatia,12
hungary,lithuania,8
hungary,czech republic,10
hungary,poland,29
hungary,sweden,56
hungary,russia,38
hungary,finland,6
hungary,malta,30
hungary,slovenia,14
hungary,norway,30
hungary,united kingdom,35
hungary,israel,19
hungary,belgium,27
hungary,ireland,27
hungary,azerbaijan,30
hungary,bulgaria,24
hungary,georgia,10
hungary,switzerland,4
hungary,serbia & montenegro,2
hungary,iceland,29
hungary,latvia,14
hungary,serbia,16
hungary,france,14
hungary,bosnia & herzegovina,1
hungary,belarus,4
iceland,albania,11
iceland,slovenia,11
iceland,switzerland,73
iceland,the netherlands,45
iceland,norway,138
iceland,sweden,184
iceland,ukraine,38
iceland,azerbaijan,23
iceland,romania,11
iceland,italy,39
iceland,cyprus,56
iceland,greece,33
iceland,france,113
iceland,ireland,60
iceland,lithuania,10
iceland,belgium,33
iceland,spain,32
iceland,estonia,58
iceland,bulgaria,8
iceland,luxembourg,9
iceland,portugal,61
iceland,yugoslavia,48
iceland,united kingdom,57
iceland,russia,32
iceland,malta,17
iceland,denmark,167
iceland,georgia,2
iceland,turkey,18
iceland,poland,41
iceland,czechia,8
iceland,netherlands,14
iceland,israel,39
iceland,austria,61
iceland,germany,64
iceland,serbia,9
iceland,croatia,35
iceland,hungary,26
iceland,finland,71
iceland,australia,22
iceland,czech republic,6
iceland,armenia,13
iceland,north macedonia,8
iceland,bosnia & herzegovina,5
iceland,latvia,14
iceland,serbia & montenegro,7
iceland,san marino,1
iceland,moldova,6
ireland,sweden,191
ireland,iceland,42
ireland,the netherlands,113
ireland,ukraine,46
ireland,portugal,48
ireland,lithuania,79
ireland,finland,89
ireland,italy,103
ireland,israel,113
ireland,yugoslavia,52
ireland,united kingdom,216
ireland,cyprus,60
ireland,croatia,33
ireland,austria,95
ireland,france,165
ireland,norway,115
ireland,russia,41
ireland,estonia,68
ireland,belgium,103
ireland,germany,160
ireland,moldova,25
ireland,denmark,115
ireland,luxembourg,96
ireland,slovenia,24
ireland,hungary,21
ireland,malta,83
ireland,spain,83
ireland,monaco,38
ireland,latvia,30
ireland,armenia,7
ireland, norway,8
ireland,georgia,6
ireland,albania,4
ireland,serbia & montenegro,3
ireland,romania,24
ireland,poland,37
ireland,greece,31
ireland,turkey,16
ireland,czechia,10
ireland,switzerland,113
ireland,azerbaijan,6
ireland,serbia,10
ireland,bosnia & herzegovina,5
ireland,australia,6
ireland,bulgaria,10
ireland,czech republic,7
ireland,netherlands,10
ireland, luxembourg,7
israel,greece,83
israel,croatia,40
israel,cyprus,48
israel,lithuania,18
israel,sweden,155
israel,australia,34
israel,italy,89
israel,france,146
israel,denmark,87
israel,the netherlands,118
israel,switzerland,85
israel,estonia,49
israel,finland,81
israel,spain,104
israel,united kingdom,164
israel,norway,107
israel,malta,51
israel,germany,95
israel,turkey,30
israel,ukraine,77
israel,latvia,34
israel,ireland,60
israel,yugoslavia,68
israel,austria,70
israel,georgia,9
israel,belgium,79
israel,serbia,9
israel,monaco,23
israel,azerbaijan,27
israel,romania,68
israel,slovenia,14
israel,moldova,29
israel,hungary,12
israel,netherlands,1
israel,iceland,44
israel,luxembourg,59
israel,armenia,52
israel,czechia,6
israel,portugal,38
israel,france ,7
israel, lithuania,3
israel,cyprus ,1
israel,russia,95
israel,poland,13
israel,czech republic,13
israel,bulgaria,16
israel,belarus,1
israel, ireland,8
israel,monaco ,1
israel,russia ,7
israel,bosnia & herzegovina,2
italy,germany,116
italy,france,142
italy,switzerland,121
italy,malta,68
italy,israel,96
italy,serbia,26
italy,ireland,128
italy,austria,91
italy,estonia,41
italy,cyprus,26
italy,czech republic,4
italy,poland,29
italy,portugal,44
italy,greece,60
italy,yugoslavia,32
italy,norway,101
italy,iceland,43
italy,spain,127
italy,united kingdom,148
italy,monaco,56
italy,sweden,102
italy,finland,48
italy,moldova,53
italy,ukraine,85
italy,australia,20
italy,russia,43
italy,belgium,68
italy,north macedonia,11
italy,the netherlands,85
italy,azerbaijan,19
italy,georgia,8
italy,romania,43
italy,turkey,23
italy,albania,45
italy,denmark,69
italy,armenia,21
italy,san marino,9
italy,luxembourg,79
italy,netherlands,12
italy, switzerland,4
italy, portugal,10
italy,bosnia & herzegovina,7
italy,bulgaria,9
italy,lithuania,23
italy,slovenia,4
italy,latvia,4
italy,croatia,18
italy,morocco,7
italy,hungary,9
italy,czechia,7
italy, france,3
latvia,the netherlands,3
latvia,norway,42
latvia,united kingdom,23
latvia,austria,25
latvia,bulgaria,3
latvia,lithuania,71
latvia,ukraine,74
latvia,malta,25
latvia,georgia,16
latvia,estonia,73
latvia,russia,88
latvia,finland,33
latvia,switzerland,38
latvia,luxembourg,3
latvia,denmark,33
latvia,hungary,8
latvia,slovenia,9
latvia,israel,22
latvia,croatia,22
latvia,ireland,9
latvia,poland,13
latvia,germany,20
latvia,sweden,76
latvia,cyprus,14
latvia,belgium,16
latvia,france,28
latvia,australia,12
latvia,iceland,12
latvia,portugal,7
latvia,italy,13
latvia,romania,3
latvia,spain,16
latvia,azerbaijan,7
latvia,armenia,18
latvia,greece,9
latvia,netherlands,4
latvia,moldova,15
latvia,belarus,8
latvia,serbia & montenegro,1
latvia,serbia,5
latvia,czechia,1
lithuania,france,60
lithuania,switzerland,30
lithuania,estonia ,1
lithuania,italy,54
lithuania,serbia,11
